Statistical profiling result from isolate-0x130008000-64699-v8.log, (39114 ticks, 872 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      9    0.0%    0.0%  JS: *NodeObject /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:150861:14
      9    0.0%    0.0%  JS: *BroadcasterResult /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/subscriber/BroadcasterResult.js:8:16
      9    0.0%    0.0%  JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/sqlite3.js:7:21
      8    0.0%    0.0%  JS: *normalizeDefault /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite-abstract/AbstractSqliteDriver.js:461:21
      8    0.0%    0.0%  JS: *findComponentByName file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/language-servers/utils/RelationshipResolver.js:168:24
      8    0.0%    0.0%  JS: *createGeneratedMap /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite-abstract/AbstractSqliteDriver.js:536:23
      8    0.0%    0.0%  JS: *createFromAlias /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/QueryBuilder.js:387:20
      8    0.0%    0.0%  JS: *buildRelationship file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/features/indexing/services/DocumentationResolverService.js:105:22
      8    0.0%    0.0%  JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/persistence/EntityPersistExecutor.js:62:34
      7    0.0%    0.0%  RegExp: export\s+.*\banonymous\b
      7    0.0%    0.0%  RegExp: (\w+)\s*\(
      7    0.0%    0.0%  RegExp: (\w+)::(\w+)\s*\(
      7    0.0%    0.0%  JS: *transform /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/transformer/RawSqlResultsToEntityTransformer.js:33:14
      7    0.0%    0.0%  JS: *scanString /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:12388:22
      7    0.0%    0.0%  JS: *normalizeString node:path:77:25
      7    0.0%    0.0%  JS: *createWhereExpression /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/QueryBuilder.js:538:26
      7    0.0%    0.0%  JS: *QueryExpressionMap /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/QueryExpressionMap.js:16:16
      7    0.0%    0.0%  JS: *<anonymous> node:internal/util/inspect:1700:11
      7    0.0%    0.0%  JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/sqlite3.js:87:50
      6    0.0%    0.0%  RegExp: [\x00-\x1f\x5c\x7f-\x9f]|[\ud800-\udbff](?![\udc00-\udfff])|(?<![\ud800-\udbff])[\udc00-\udfff]
      6    0.0%    0.0%  RegExp: ([ =(]|^.{0})(Embedding\.)([^ =(),]+)(?=[ =),]|.{0}$)
      6    0.0%    0.0%  JS: ^execute /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/InsertQueryBuilder.js:38:18
      6    0.0%    0.0%  JS: *visit file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:962:23
      6    0.0%    0.0%  JS: *relative node:path:1280:11
      6    0.0%    0.0%  JS: *forEachChildInPropertyAccessExpression /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:32467:88
      6    0.0%    0.0%  JS: *createNodeArray /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:25366:27
      5    0.0%    0.0%  RegExp: exports\.anonymous\s*=
      5    0.0%    0.0%  RegExp: export\s+.*\banonymous\b {1}
      5    0.0%    0.0%  RegExp: <script(?:\s+[^>]*?lang=["'](typescript|ts)["'][^>]*?)?>([\s\S]*?)</script>
      5    0.0%    0.0%  RegExp: (?:const|let|var)\s+\w+\s*=\s*(\{[\s\S]*?\})\s*;
      5    0.0%    0.0%  JS: +scan /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:12773:16
      5    0.0%    0.0%  JS: +SubjectExecutor /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/persistence/SubjectExecutor.js:23:16
      5    0.0%    0.0%  JS: *nextToken /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:33542:21
      5    0.0%    0.0%  JS: *isListElement2 /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:34009:26
      5    0.0%    0.0%  JS: *getQuery /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:50:13
      5    0.0%    0.0%  JS: *getKeys node:internal/util/inspect:753:17
      5    0.0%    0.0%  JS: *findOne /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/repository/Repository.js:275:18
      5    0.0%    0.0%  JS: *createLimitOffsetExpression /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:1379:32
      5    0.0%    0.0%  JS: *computeDiffColumns /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/persistence/SubjectChangedColumnsComputer.js:30:23
      5    0.0%    0.0%  JS: *buildWhere /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:2490:15
      5    0.0%    0.0%  JS: *SyntaxKind /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:177:15
      5    0.0%    0.0%  JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/QueryBuilder.js:492:44
      4    0.0%    0.0%  RegExp: \{%\s+(load|extends|block|if|for|include)[\s\S]*?%\} {1}
      4    0.0%    0.0%  RegExp: \/\*\*[\s\S]*?\*\/
      4    0.0%    0.0%  RegExp: <style(?:\s[^>]*?)?>([\s\S]*?)</style>
      4    0.0%    0.0%  RegExp: (?:const|let|var)\s+\w+\s*=\s*(\{[\s\S]*?\})\s*; {1}
      4    0.0%    0.0%  JS: ^storeComponents file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/features/storage/repositories/ComponentRepository.js:75:26
      4    0.0%    0.0%  JS: +parseReturnStatement /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:37237:32
      4    0.0%    0.0%  JS: +execute /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/persistence/SubjectExecutor.js:64:18
      4    0.0%    0.0%  JS: *visitNode file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:223:14
      4    0.0%    0.0%  JS: *token /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:33532:17
      4    0.0%    0.0%  JS: *toProjectRelativePosix file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/utils/PathUtils.js:3:39
      4    0.0%    0.0%  JS: *resolveFileWithExtensions file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/services/TSModuleResolver.js:328:30
      4    0.0%    0.0%  JS: *resolveAll file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/features/indexing/services/DocumentationResolverService.js:6:21
      4    0.0%    0.0%  JS: *parseUpdateExpression /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:36297:33
      4    0.0%    0.0%  JS: *isListTerminator /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:34137:28
      4    0.0%    0.0%  JS: *getMany /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:747:18
      4    0.0%    0.0%  JS: *get node:internal/bootstrap/node:465:8
      4    0.0%    0.0%  JS: *get mustBeUpdated /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/persistence/Subject.js:115:22
      4    0.0%    0.0%  JS: *get alias /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/QueryBuilder.js:58:14
      4    0.0%    0.0%  JS: *forEachChildInCallOrNewExpression /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:32781:43
      4    0.0%    0.0%  JS: *extractUsageRelationships file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/PhpParser.js:1031:30
      4    0.0%    0.0%  JS: *default file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/features/storage/entities/index/Relationship.entity.js:111:51
      4    0.0%    0.0%  JS: *createIdentifier /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:33864:28
      4    0.0%    0.0%  JS: *createCallExpression /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:26481:32
      4    0.0%    0.0%  JS: *broadcastBeforeQueryEvent /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/subscriber/Broadcaster.js:264:30
      3    0.0%    0.0%  RegExp: module\.exports\s*=.*\banonymous\b
      3    0.0%    0.0%  RegExp: createGlobalStyle`([\s\S]*?)`
      3    0.0%    0.0%  RegExp: <style(?:\s+[^>]*?type=["']text/css["'][^>]*?)?>([\s\S]*?)</style>
      3    0.0%    0.0%  RegExp: <style(?:\s+[^>]*?lang=["'](scss|sass|less|stylus)["'][^>]*?)?>([\s\S]*?)</style>
      3    0.0%    0.0%  RegExp: <script(?:\s+[^>]*?type=["']text/javascript["'][^>]*?)?>([\s\S]*?)</script>
      3    0.0%    0.0%  RegExp: <<["']?EOF["']?([\s\S]*?)EOF
      3    0.0%    0.0%  RegExp: <(\w+)(?:\s[^>]*)?>.*?</\1> {1}
      3    0.0%    0.0%  JS: ^storeRelationships file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/features/storage/repositories/RelationshipRepository.js:91:29
      3    0.0%    0.0%  JS: +storeComponents file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/features/storage/repositories/ComponentRepository.js:75:26
      3    0.0%    0.0%  JS: +importModuleDynamicallyCallback node:internal/modules/esm/utils:240:47
      3    0.0%    0.0%  JS: +findMetadata /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/data-source/DataSource.js:432:17
      3    0.0%    0.0%  JS: +executeInsertOperations /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/persistence/SubjectExecutor.js:196:34
      3    0.0%    0.0%  JS: +executeEntitiesAndRawResults /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:1972:39
      3    0.0%    0.0%  JS: +buildEscapedEntityColumnSelects /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:1608:36
      3    0.0%    0.0%  JS: +build /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/persistence/subject-builder/OneToOneInverseSideSubjectBuilder.js:30:10
